timestamp,dominant_emotion,angry,disgust,fear,happy,sad,surprise,neutral,face_count
2026-08-17T15:30:58,neutral,0.21,0.0,0.04,0.01,2.09,0.0,97.65,1
2026-08-17T15:30:59,neutral,0.72,0.0,0.05,0.0,5.96,0.0,93.27,1
2026-08-17T15:31:01,neutral,0.85,0.0,0.13,0.0,5.43,0.0,93.58,1
2026-08-17T15:31:02,neutral,0.54,0.0,2.05,0.01,17.24,0.0,80.17,1
2026-08-17T15:31:03,sad,2.29,0.0,7.18,0.51,81.1,0.0,8.91,1
2026-08-17T15:31:04,neutral,0.03,0.0,0.01,0.0,0.46,0.0,99.51,1
2026-08-17T15:31:07,neutral,1.25,0.0,0.6,0.04,7.27,0.01,90.83,1
2026-08-17T15:31:08,neutral,2.99,0.0,0.94,0.01,9.86,0.0,86.2,1
2026-08-17T15:31:09,neutral,0.09,0.0,0.06,0.01,3.91,0.0,95.93,1
2026-08-17T15:31:11,neutral,0.03,0.0,0.01,0.0,1.16,0.0,98.8,1
2026-08-17T15:31:12,neutral,0.05,0.0,0.08,0.0,1.94,0.0,97.93,1
2026-08-17T15:31:13,neutral,0.43,0.0,1.01,0.0,9.23,0.0,89.32,1
2026-08-17T15:31:14,neutral,0.17,0.0,0.09,0.0,7.11,0.0,92.63,1
2026-08-17T15:31:16,neutral,0.39,0.0,0.28,0.0,10.49,0.0,88.83,1
2026-08-17T15:39:38,neutral,1.7,0.0,7.19,0.07,44.39,0.0,46.65,1
2026-08-17T15:39:40,neutral,1.1,0.0,9.7,0.29,39.51,0.02,49.38,1
2026-08-17T15:39:43,neutral,1.31,0.0,0.01,2.0,1.78,0.0,94.89,1
2026-08-17T15:39:45,happy,24.78,0.0,0.27,45.32,7.89,0.0,21.74,1
2026-08-17T15:39:47,happy,0.14,0.0,0.02,91.38,0.28,0.02,8.16,1
2026-08-17T15:39:49,angry,82.44,0.0,0.21,2.68,8.7,0.0,5.98,1
2026-08-17T15:39:50,happy,7.79,0.0,0.03,71.01,2.29,0.0,18.87,1
2026-08-17T15:39:52,happy,0.28,0.0,0.03,96.06,0.04,0.0,3.59,1
2026-08-17T15:39:54,neutral,27.17,0.0,0.76,2.44,2.96,0.0,66.66,1
2026-08-17T15:40:04,fear,8.56,0.17,63.51,0.23,14.26,0.2,13.06,1
2026-08-17T15:40:06,neutral,0.64,0.0,2.48,0.01,40.51,0.0,56.37,1
2026-08-17T15:40:08,happy,0.1,0.0,2.4,45.66,13.93,0.0,37.91,1
2026-08-17T15:40:10,neutral,2.73,0.0,2.15,17.26,7.77,0.03,70.07,1
2026-08-17T15:47:46,neutral,0.62,0.0,1.07,0.0,2.04,0.02,96.26,1
2026-08-17T15:47:47,neutral,0.19,0.0,0.2,0.0,1.0,0.0,98.6,1
2026-08-17T15:47:48,neutral,0.13,0.0,0.08,2.37,0.68,0.06,96.68,1
2026-08-17T15:47:49,neutral,0.08,0.0,0.04,0.0,0.91,0.0,98.97,1
2026-08-17T15:47:51,sad,4.74,0.03,5.86,2.36,78.48,0.02,8.51,1
2026-08-17T15:47:52,sad,16.29,0.02,4.48,2.17,71.0,0.02,6.03,1
2026-08-17T15:47:53,sad,6.29,0.08,8.64,0.49,79.89,0.03,4.57,1
2026-08-17T15:47:54,sad,15.38,0.01,4.11,1.47,40.57,0.07,38.4,1
2026-08-17T15:47:56,angry,44.26,0.0,21.79,0.95,22.85,0.58,9.56,1
2026-08-17T15:47:57,neutral,0.71,0.0,1.28,0.01,3.93,0.03,94.04,1
2026-08-17T15:47:58,neutral,18.39,0.0,0.11,0.33,0.33,4.01,76.83,1
2026-08-17T15:47:59,happy,0.51,0.0,0.58,97.37,0.35,0.07,1.12,1
2026-08-17T15:48:01,happy,16.6,0.0,0.38,38.13,5.55,1.84,37.5,1
2026-08-17T15:48:02,neutral,0.14,0.0,0.01,0.0,0.06,0.0,99.79,1
2026-08-17T15:48:03,neutral,0.02,0.0,0.01,0.0,0.08,0.0,99.89,1
2026-08-17T15:48:04,angry,71.69,0.0,2.2,0.0,6.05,0.0,20.05,1
2026-08-17T15:48:05,neutral,0.38,0.0,0.19,0.05,0.59,0.01,98.77,1
2026-08-17T15:48:07,neutral,14.12,0.0,0.29,0.11,2.27,0.01,83.21,1
2026-08-17T15:48:08,angry,71.6,0.0,0.24,0.06,2.0,0.0,26.1,1
2026-08-17T15:48:09,neutral,14.02,0.0,0.12,0.01,1.75,0.0,84.09,1
2026-08-17T15:48:10,neutral,0.08,0.0,0.21,0.0,0.33,0.0,99.37,1
2026-08-17T15:48:12,neutral,0.31,0.0,0.38,0.04,2.34,0.0,96.92,1
2026-08-18T08:23:00,neutral,1.8,0.0,25.48,1.14,28.33,0.01,43.23,1
2026-08-18T08:23:01,happy,0.17,0.0,0.04,51.7,0.31,0.02,47.77,1
2026-08-18T08:23:02,neutral,0.0,0.0,0.06,33.01,1.14,0.0,65.78,1
2026-08-18T08:23:04,sad,0.09,0.0,1.47,6.98,91.06,0.0,0.41,1
2026-08-18T08:23:05,happy,0.02,0.0,0.04,88.81,0.14,0.0,10.99,1
2026-08-18T08:23:06,neutral,1.87,0.0,0.19,0.02,1.47,0.0,96.45,1
2026-08-18T08:23:07,neutral,3.43,0.0,18.2,4.4,23.18,0.0,50.79,1
2026-08-18T08:23:08,neutral,2.05,0.0,18.06,0.93,33.47,0.0,45.48,1
2026-08-18T08:23:09,neutral,2.39,0.0,30.97,0.7,31.21,0.0,34.72,1
2026-08-18T08:23:12,fear,0.86,0.0,61.4,7.07,8.9,0.07,21.7,1
2026-08-18T08:23:13,sad,1.34,0.0,16.37,3.11,69.11,0.0,10.07,1
2026-08-18T08:23:14,neutral,1.24,0.0,1.97,0.35,4.69,0.01,91.75,1
2026-08-18T08:23:15,neutral,0.09,0.0,0.4,0.0,1.45,0.0,98.05,1
2026-08-18T08:23:16,neutral,0.81,0.0,2.92,0.12,29.09,0.0,67.05,1
2026-08-18T08:23:17,sad,5.72,0.0,2.06,0.03,61.77,0.0,30.42,1
2026-08-18T08:23:19,neutral,2.66,0.0,2.61,0.15,36.03,0.01,58.54,1
2026-08-18T08:23:20,neutral,0.66,0.0,3.94,0.1,8.65,0.0,86.65,1
2026-08-18T08:23:21,neutral,7.1,0.01,1.77,15.54,16.01,0.07,59.5,1
2026-08-18T08:23:22,neutral,0.0,0.0,0.0,21.1,0.04,0.0,78.86,1
2026-08-18T08:23:23,happy,0.46,0.0,0.0,99.17,0.05,0.0,0.32,1
2026-08-18T08:23:24,angry,63.37,0.0,5.79,0.03,18.59,0.0,12.22,1
2026-08-18T08:23:25,neutral,0.23,0.0,0.05,0.25,0.64,0.0,98.83,1
2026-08-18T08:23:27,neutral,0.01,0.0,0.05,0.0,0.3,0.0,99.63,1
2026-08-18T08:23:28,neutral,0.52,0.0,1.77,0.07,4.63,0.0,93.01,1
2026-08-18T08:23:29,sad,1.05,0.0,13.67,0.02,76.54,0.0,8.71,1
2026-08-18T08:23:30,neutral,0.19,0.0,4.05,0.23,10.31,0.0,85.22,1
2026-08-18T08:23:31,neutral,0.17,0.0,3.08,0.57,6.05,0.0,90.12,1
2026-08-18T08:23:32,neutral,0.5,0.0,8.32,0.08,16.42,0.0,74.68,2
2026-08-18T08:23:33,neutral,0.14,0.0,3.0,0.11,4.09,0.0,92.66,1
2026-08-18T08:23:34,neutral,4.14,0.0,2.82,0.65,2.35,0.03,90.01,1
2026-08-18T08:23:35,neutral,1.25,0.0,0.67,0.34,1.98,0.0,95.76,1
2026-08-18T08:23:36,sad,18.97,0.0,9.66,0.42,65.44,0.0,5.51,1
2026-08-18T08:23:37,sad,0.45,0.0,2.35,0.01,87.46,0.0,9.72,1
2026-08-18T08:23:39,sad,1.8,0.0,1.2,0.0,91.51,0.0,5.48,1
2026-08-18T08:23:40,sad,4.44,0.0,12.92,0.0,79.76,0.0,2.87,1
2026-08-18T08:23:41,neutral,3.35,0.0,0.02,0.03,5.66,0.0,90.95,1
2026-08-18T08:23:42,neutral,0.21,0.0,0.03,0.13,10.27,0.0,89.36,1
2026-08-18T08:23:43,neutral,0.1,0.0,0.25,0.57,0.94,0.0,98.13,1
2026-08-18T08:23:44,neutral,0.25,0.0,0.25,0.23,3.71,0.0,95.57,1
2026-08-18T08:23:45,neutral,2.9,0.0,0.01,0.05,4.39,0.0,92.65,1
2026-08-18T08:23:46,fear,0.12,0.0,78.0,0.0,21.84,0.0,0.03,1
2026-08-18T08:23:47,sad,0.0,0.0,2.78,0.0,97.22,0.0,0.0,1
2026-08-18T08:23:48,sad,0.0,0.0,2.89,0.0,97.11,0.0,0.0,1
2026-08-18T08:23:50,angry,57.49,0.0,0.19,0.13,13.25,0.0,28.94,1
2026-08-18T08:23:51,sad,0.01,0.0,16.23,0.0,83.76,0.0,0.0,1
2026-08-18T08:23:52,sad,0.0,0.0,0.62,0.08,99.3,0.0,0.0,1
2026-08-18T08:23:53,fear,0.0,0.0,77.07,0.0,22.93,0.0,0.0,1
2026-08-18T08:23:54,sad,8.34,0.0,0.1,0.0,53.77,0.0,37.79,2
2026-08-18T08:23:55,sad,0.0,0.0,0.72,0.0,99.28,0.0,0.0,1
2026-08-18T08:23:57,sad,0.0,0.0,2.45,0.0,97.55,0.0,0.0,1
2026-08-18T08:23:58,sad,0.0,0.0,16.78,0.0,83.19,0.0,0.02,1
2026-08-18T08:23:59,neutral,2.87,0.0,0.64,0.4,3.99,0.0,92.11,1
2026-08-18T08:24:00,neutral,0.03,0.0,0.05,2.91,1.07,0.01,95.91,1
2026-08-18T08:24:01,neutral,0.87,0.0,1.04,0.0,1.23,0.0,96.86,1
2026-08-18T08:24:02,sad,36.98,0.0,12.08,0.04,38.62,0.0,12.29,1
2026-08-18T08:24:03,sad,31.1,0.0,19.7,0.03,34.0,0.0,15.17,1
2026-08-18T08:24:04,sad,31.28,0.0,22.68,0.01,34.54,0.0,11.49,1
2026-08-18T08:24:05,sad,20.09,0.0,26.15,0.02,36.46,0.0,17.27,1
2026-08-18T08:24:06,sad,15.11,0.0,21.27,0.04,38.36,0.0,25.22,1
2026-08-18T08:24:08,neutral,3.76,0.0,3.32,0.01,4.82,0.0,88.09,1
2026-08-18T08:25:53,neutral,1.16,0.0,0.0,0.01,1.61,0.0,97.22,1
2026-08-18T08:28:29,neutral,1.16,0.0,0.0,0.01,1.61,0.0,97.22,1
2026-08-18T08:29:06,sad,9.51,0.0,0.0,0.0,87.96,0.0,2.53,1
2026-08-18T08:29:29,sad,9.51,0.0,0.0,0.0,87.96,0.0,2.53,1
2026-08-31T12:05:50,neutral,1.64,0.0,0.04,0.03,1.91,0.0,96.39,1
2026-08-31T12:05:51,neutral,14.28,0.0,8.89,0.91,35.56,0.01,40.35,1
2026-08-31T12:05:53,sad,14.93,0.01,17.08,1.51,43.92,0.02,22.53,1
2026-08-31T12:05:54,sad,14.56,0.0,8.06,2.19,38.37,0.01,36.8,1
2026-08-31T12:05:55,angry,40.66,0.01,1.14,11.63,21.67,0.01,24.88,1
2026-08-31T12:05:56,neutral,18.28,0.0,0.23,0.01,12.63,0.0,68.85,1
2026-08-31T12:05:58,neutral,26.43,0.0,0.05,0.01,12.75,0.0,60.77,1
2026-08-31T12:05:59,neutral,1.08,0.0,0.01,0.0,9.44,0.0,89.48,1
2026-08-31T12:06:00,neutral,0.63,0.0,1.35,0.44,13.86,0.0,83.72,1
2026-08-31T12:06:01,neutral,1.9,0.0,0.69,0.01,11.76,0.0,85.64,1
2026-08-31T12:06:02,neutral,11.21,0.0,2.75,0.01,13.23,0.0,72.81,1
2026-08-31T12:06:04,neutral,6.45,0.0,17.25,0.37,23.74,0.01,52.19,1
2026-08-31T12:06:05,neutral,7.63,0.0,4.32,0.11,14.29,0.0,73.65,1
2026-08-31T12:06:06,neutral,2.08,0.0,1.86,0.02,5.22,0.0,90.82,1
2026-08-31T12:06:07,neutral,4.83,0.0,6.4,0.15,21.9,0.0,66.72,1
2026-08-31T12:06:09,neutral,6.96,0.0,13.28,0.1,31.96,0.0,47.7,1
2026-08-31T12:06:10,neutral,6.01,0.0,5.15,0.39,15.7,0.01,72.74,1
2026-08-31T12:06:11,neutral,11.97,0.0,0.31,22.46,1.3,0.0,63.96,1
2026-08-31T12:06:12,happy,0.04,0.0,0.48,80.8,6.76,0.0,11.91,1
2026-08-31T12:06:13,neutral,2.09,0.0,0.26,0.01,20.04,0.0,77.6,1
